--------- beginning of main
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Indian' | items count: 14
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Rongen TV', url='{"url":"http://rtmp.smartstream.video:1935/rongeentv/rongeentv/chunklist_w473543205.m3u8","title":"Rongen TV","poster":"https://buddytv.netlify.app/img/no-logo.png","nation":"Indian","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'SPORTS' | items count: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='FIGHT', url='{"url":"https://shls-fight-sports-ak.akamaized.net/out/v1/ee7e6475b12e484bbfa5c31461ad4306/index.m3u8","title":"FIGHT","poster":"https://www.digitaltveurope.com/files/2014/08/Fight-Sports.png","nation":"SPORTS","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: '' | items count: 21
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='SONY SET HD', url='{"url":"https://dai.google.com/ssai/event/HgaB-u6rSpGx3mo4Xu3sLw/master.m3u8","title":"SONY SET HD","poster":"https://res.cloudinary.com/Sony-liv/image/fetch/c_fill","nation":"null","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'SonyLiv' | items count: 14
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Sony Kal', url='{"url":"https://spt-sonykal-1-us.lg.wurl.tv/playlist.m3u8","title":"Sony Kal","poster":"https://c.evidon.com/pub_logos/2796-2021122219404475.png","nation":"SonyLiv","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'TS-JioTV' | items count: 1027
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='CNBC Tv18 Prime HD', url='{"url":"http://103.168.18.83:80/zan/app/ts_live_143.m3u8","title":"CNBC Tv18 Prime HD","poster":"https://jiotv.catchup.cdn.jio.com/dare_images/images/CNBC_Tv18_Prime_HD.png","nation":"TS-JioTV","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin: Diagnosing provider: PublicSportsIPTV
07-13 16:05:54.051  1919 10068 I ZunoPlugin:  - mainUrl: https://raw.githubusercontent.com/Jitendra-unatti/fancode/refs/heads/main/data/fancode.json
07-13 16:05:54.051  1919 10068 I ZunoPlugin:  - mainPage size: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:  - Calling getMainPage for page ''...
